query,label,
Paraphrase: 'A stitch in time saves nine.',3,
Who is the CEO of Tesla?,0,
Provide a summary of the novel '1984' by George Orwell.,2,
Paraphrase this sentence: 'Birds of a feather flock together.',3,
Can you rewrite this in your own words: 'Water boils at 100 degrees Celsius.',3,
Translate 'How are you?' into Italian.,1,
Summarize the history of the Roman Empire.,2,
Paraphrase: 'All that glitters is not gold.',3,
Translate 'Thank you' into Russian.,1,
Translate the following phrase into Arabic: 'Have a great day!',1,
Give me a short summary of the industrial revolution.,2,
Who is the founder of Microsoft?,0,
Translate 'Please help me' into Japanese.,1,
Summarize the plot of 'The Catcher in the Rye'.,2,
Rewrite this sentence: 'Life is like a box of chocolates.',3,
Who painted 'Starry Night'?,0,
Summarize the key points of climate change research.,2,
Paraphrase: 'Don't put all your eggs in one basket.',3,
Who wrote 'To Kill a Mockingbird'?,0,
Give an overview of the French Revolution.,2,
Explain the concept of photosynthesis to a child.,3,
Who was the first person to walk on the moon?,0,
Give a brief overview of the Enlightenment period.,2,
Rewrite this sentence: 'Rome wasn't built in a day.',3,
Who composed the 'Moonlight Sonata'?,0,
Provide a summary of the theory of evolution.,2,
How do you say 'Nice to meet you' in Turkish?,1,
Give an overview of the Renaissance art movement.,2,
Explain the concept of climate change to a teenager.,3,
Explain the concept of inflation in easy-to-understand terms.,3,
Give a brief overview of the Scientific Revolution.,2,
Explain the concept of natural selection to a high school student.,3,
What is the longest river in Europe?,0,
Summarize the main events of World War II.,2,
Rewrite this sentence: 'The pen is mightier than the sword.',3,
Paraphrase: 'A picture is worth a thousand words.',3,
What is the smallest country in the world?,0,
How would you say 'I'm sorry' in Swahili?,1,
Explain the concept of global warming to a child.,3,
Summarize the main events of the Cuban Missile Crisis.,2,
Rewrite this sentence: 'All that glitters is not gold.',3,
How many continents are there?,0,
Translate 'Good morning' to French.,1,
Who discovered electricity?,0,
Explain 'E = mc^2' in simpler terms.,3,
Who is the current Prime Minister of Canada?,0,
Summarize the plot of 'To Kill a Mockingbird'.,2,
What is the speed of light?,0,
Summarize the events of World War II.,2,
Summarize the life of Albert Einstein.,2,
What's the boiling point of water in Fahrenheit?,0,
Paraphrase: 'Actions speak louder than words.',3,
How do you convert Celsius to Fahrenheit?,0,
Translate 'Where is the bathroom?' into German.,1,
Explain this phrase in simple terms: 'Time is money.',3,
Give a brief overview of the Renaissance period.,2,
Translate 'How are you doing?' to German.,1,
Provide a summary of the American Civil Rights Movement.,2,
Translate 'I don't understand' to Spanish.,1,
How do you say 'Goodbye' in Mandarin Chinese?,1,
Translate 'Where is the nearest hospital?' to Arabic.,1,
Rewrite this in simpler words: 'Carpe diem',3,
Explain the water cycle in easy-to-understand terms.,3,
How would you say 'How much does this cost?' in Hindi?,1,
What is the largest desert in the world?,0,
Summarize the key events of the Cold War.,2,
What is the tallest mountain in North America?,0,
How do you say 'Cheers!' in Irish Gaelic?,1,
Translate 'I'm allergic to peanuts' to Thai.,1,
How would you say 'Do you speak English?' in Norwegian?,1,
Explain the concept of renewable energy in simple terms.,3,
What is the capital of Australia?,0,
How do you say 'I'm vegetarian' in Finnish?,1,
Summarize the main principles of Buddhism.,2,
Provide a summary of the Space Race.,2,
Explain the concept of quantum physics in layman's terms.,3,
