User Query,Label
"""Please summarize the main points of this article.""",Summarization
"""Translate this sentence into Spanish.""",Translation
"""Can you generate a creative story about a space adventure?""",Text Generation
"""What's the capital of France?""",Question Answering
"""Rewrite this paragraph in a more formal tone.""",Text-to-Text Generation
"""Summarize this document in a few bullet points.""",Summarization
"""Can you translate this paragraph into French?""",Translation
"""Generate a poem about the ocean.""",Text Generation
"""What's the population of India?""",Question Answering
"""Rewrite this sentence to sound more professional.""",Text-to-Text Generation
"""What is the summary of the book 'To Kill a Mockingbird'?""",Summarization
"""Translate the following text into Japanese.""",Translation
"""Create a short story about a detective solving a mystery.""",Text Generation
"""How do I solve this math problem?""",Question Answering
"""Rephrase this sentence to be shorter.""",Text-to-Text Generation
"""Summarize the key points of this research paper.""",Summarization
"""Please translate this English text into German.""",Translation
"""Generate a dialogue between two friends planning a trip.""",Text Generation
"""What is the answer to this trivia question?""",Question Answering
"""Rewrite this paragraph in simpler language.""",Text-to-Text Generation
"""Please summarize the main points of this article.""",Summarization
"""Translate this sentence into Spanish.""",Translation
"""Can you generate a creative story about a space adventure?""",Text Generation
"""What's the capital of France?""",Question Answering
"""Rewrite this paragraph in a more formal tone.""",Text-to-Text Generation
"""Summarize this document in a few bullet points.""",Summarization
"""Can you translate this paragraph into French?""",Translation
"""Generate a poem about the ocean.""",Text Generation
"""What's the population of India?""",Question Answering
"""Rewrite this sentence to sound more professional.""",Text-to-Text Generation
"""What is the summary of the book 'To Kill a Mockingbird'?""",Summarization
"""Translate the following text into Japanese.""",Translation
"""Create a short story about a detective solving a mystery.""",Text Generation
"""How do I solve this math problem?""",Question Answering
"""Rephrase this sentence to be shorter.""",Text-to-Text Generation
"""Summarize the key points of this research paper.""",Summarization
"""Please translate this English text into German.""",Translation
"""Generate a dialogue between two friends planning a trip.""",Text Generation
"""What is the answer to this trivia question?""",Question Answering
"""Rewrite this paragraph in simpler language.""",Text-to-Text Generation
"""Summarize the findings of this report.""",Summarization
"""Translate this sentence into Mandarin.""",Translation
"""Can you write a poem about love?""",Text Generation
"""What year did World War II end?""",Question Answering
"""Reword this sentence to be more concise.""",Text-to-Text Generation
"""Can you summarize this chapter in a few sentences?""",Summarization
"""Translate this document to Italian.""",Translation
"""Generate a fictional story about time travel.""",Text Generation
"""Who is the current president of the United States?""",Question Answering
"""Rephrase this text to be more engaging.""",Text-to-Text Generation
"""Please summarize the contents of this book.""",Summarization
"""Translate this message to Russian.""",Translation
"""Create a short story set in a futuristic city.""",Text Generation
"""What is the capital of Japan?""",Question Answering
"""Rewrite this passage to make it sound more authoritative.""",Text-to-Text Generation
"""Summarize the conclusions from this study.""",Summarization
"""Translate this text into Portuguese.""",Translation
"""Generate a story about a dragon and a knight.""",Text Generation
"""Who wrote 'Pride and Prejudice'?""",Question Answering
"""Rephrase this paragraph to improve clarity.""",Text-to-Text Generation
"""Please summarize this speech.""",Summarization
"""Translate this email to French.""",Translation
"""Can you create a story about an underdog hero?""",Text Generation
"""What is the tallest mountain in the world?""",Question Answering
"""Reword this statement to be more polite.""",Text-to-Text Generation
"""Summarize the plot of this movie.""",Summarization
"""Translate this letter to Arabic.""",Translation
"""Write a short story about a haunted house.""",Text Generation
"""How many continents are there?""",Question Answering
"""Rewrite this sentence to be more impactful.""",Text-to-Text Generation
"""Summarize the events of this historical period.""",Summarization
"""Translate this text to Korean.""",Translation
"""Create a poem about a winter landscape.""",Text Generation
"""What is the speed of light?""",Question Answering
"""Rephrase this to make it sound more casual.""",Text-to-Text Generation
"""Summarize this news article in a few sentences.""",Summarization
"""Translate this document into Hindi.""",Translation
"""Generate a fictional story about a talking cat.""",Text Generation
"""Who invented the telephone?""",Question Answering
"""Rewrite this paragraph to make it more persuasive.""",Text-to-Text Generation
"""Summarize the key arguments in this debate.""",Summarization
"""Translate this message to Greek.""",Translation
"""Write a story about a young adventurer.""",Text Generation
"""What is the chemical formula for water?""",Question Answering
"""Reword this sentence to be more concise.""",Text-to-Text Generation
"""Summarize the main ideas of this essay.""",Summarization
"""Translate this passage into Spanish.""",Translation
"""Create a short story about a robot learning to feel.""",Text Generation
"""What is the largest ocean on Earth?""",Question Answering
"""Rephrase this to make it sound more formal.""",Text-to-Text Generation
"""Summarize this scientific article in layman's terms.""",Summarization
"""Translate this text into French.""",Translation
"""Generate a story about a journey through a magical forest.""",Text Generation
"""What is the distance between Earth and the Moon?""",Question Answering
"""Rewrite this sentence to be more descriptive.""",Text-to-Text Generation
"""Summarize the key findings from this research.""",Summarization
"""Translate this document into Chinese.""",Translation
"""Create a fictional story about a time-traveling scientist.""",Text Generation
"""Who is the author of '1984'?""",Question Answering
"""Rephrase this text to make it sound more engaging.""",Text-to-Text Generation
"""Summarize the content of this podcast.""",Summarization
"""Translate this email into Italian.""",Translation
"""Write a short story about a detective solving a mystery.""",Text Generation
"""How many planets are in the Solar System?""",Question Answering
"""Rewrite this paragraph to be more concise.""",Text-to-Text Generation
"""Summarize the plot of 'Romeo and Juliet'.""",Summarization
"""Translate this sentence into German.""",Translation
"""Generate a poem about the changing seasons.""",Text Generation
"""What is the boiling point of water?""",Question Answering
"""Reword this to make it sound more diplomatic.""",Text-to-Text Generation
"""Summarize the key points of this presentation.""",Summarization
"""Translate this paragraph into Russian.""",Translation
"""Write a creative story about a hidden treasure.""",Text Generation
"""What is the main theme of 'The Great Gatsby'?""",Question Answering
"""Rewrite this text to make it sound more confident.""",Text-to-Text Generation
"""Can you provide a brief summary of the main points discussed in this 10-page document about renewable energy sources?""",Summarization
"""I need this paragraph translated into German, but please keep the technical terminology intact.""",Translation
"""Write a short science fiction story where humans make first contact with an alien species in the year 2200.""",Text Generation
"""Could you tell me the exact population of Tokyo as of the latest census?""",Question Answering
"""Please rewrite the following sentence to make it sound more persuasive and professional for a business proposal.""",Text-to-Text Generation
"""Summarize the key findings of this research paper on the effects of climate change on polar bear populations.""",Summarization
"""Translate this legal document into French, ensuring that all legal terminology is correctly interpreted.""",Translation
"""Can you create a detailed story about a young explorer who discovers an ancient city hidden deep in the Amazon rainforest?""",Text Generation
"""What are the primary causes of the French Revolution, and could you list them in order of significance?""",Question Answering
"""Please rephrase this paragraph to make it sound more approachable for a general audience, without losing the original meaning.""",Text-to-Text Generation
"""Could you summarize the plot of 'The Catcher in the Rye,' focusing on the protagonist's character development throughout the story?""",Summarization
"""Please translate this English contract into Japanese, and make sure to preserve the original legal nuances.""",Translation
"""Write a creative narrative about a group of teenagers who find a portal to another dimension in their school’s basement.""",Text Generation
"""Can you provide the answer to this history question: What events led to the signing of the Treaty of Versailles?""",Question Answering
"""Rewrite the following text to make it more concise and direct, suitable for a social media post promoting a new product launch.""",Text-to-Text Generation
"""I need a summary of this 20-page report on market trends, with a focus on the key insights and recommendations.""",Summarization
"""Translate the following text into Spanish, but make sure the tone remains conversational and informal.""",Translation
"""Please generate a fantasy story where a young girl discovers she has magical powers that could change the fate of her kingdom.""",Text Generation
"""What are the top three reasons for the decline of the Roman Empire, and how did each contribute to its downfall?""",Question Answering
"""Could you rephrase this technical document to make it more understandable for non-experts, while keeping the essential information intact?""",Text-to-Text Generation
"""Please summarize the content of this webinar on digital marketing strategies, highlighting the most effective tactics discussed.""",Summarization
"""Translate this medical journal article into Mandarin, ensuring that the medical terms are accurately conveyed.""",Translation
"""Write a story about a scientist who accidentally travels back in time to the dinosaur era and must find a way to return to the present.""",Text Generation
"""What were the key outcomes of the Industrial Revolution, and how did they shape modern society?""",Question Answering
